imdb_id,title,rec1,rec2,rec3,rec4,rec5,rec6
tt0120179,Speed 2: Cruise Control,Direct Contact,Killer Elite,Game of Death,Driven To Kill,Ticker,A Dangerous Man
tt0120657,The 13th Warrior,The Last Witch Hunter,The Marine,The Mummy: Tomb of the Dragon Emperor,The Scorpion King 3: Battle for Redemption,Morning Star,Mythica: The Godslayer
tt0338526,Van Helsing,Underworld: Awakening,Wolves,BloodRayne,Dracula 2000,Dracula Untold,Underworld
tt0409182,Poseidon,The Poseidon Adventure,A Night to Remember,The Life Aquatic with Steve Zissou,Titanic,Captain Phillips,Life of Pi
tt0413267,Shrek the Third,Shrek 2,Shrek Forever After,Cars 2,Shrek the Halls,Coming to America,All She Wishes
tt1375666,Inception,The Count of Monte Cristo,Replicant,Ticking Clock,Eyeborgs,ISRA 88,Highlander: Endgame
tt1270798,X-Men: First Class,The Wolverine,X-Men,X2,Captain America: Civil War,X-Men: The Last Stand,Captain America
tt1905041,Fast & Furious 6,2 Fast 2 Furious,The Fast and the Furious: Tokyo Drift,The Fast and the Furious,Fast & Furious,Furious 7,Fast Five
tt0831387,Godzilla,The Rig,Mega Piranha,The Monster Squad,Beowulf,Them!,Man-Thing
tt0803096,Warcraft,In the Name of the King 2: Two Worlds,Red Sonja,BloodRayne,Max Payne,The Lord of the Rings: The Two Towers,Doom
tt1951266,The Hunger Games: Mockingjay - Part 2,Allegiant,Insurgent,Divergent,The Hunger Games: Catching Fire,The Hunger Games: Mockingjay - Part 1,Ender's Game
tt2771200,Beauty and the Beast,Cinderella II: Dreams Come True,Sleeping Beauty,Cinderella III: A Twist in Time,Maleficent,A Cinderella Story: If the Shoe Fits,Pan
tt0346491,Alexander,Flyboys,The Pacific,Legends of the Fall,"The Tulse Luper Suitcases, Part 1: The Moab Story",Where Eagles Dare,Gallipoli
tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,Alice in Wonderland,Eragon,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Harry Potter and the Philosopher's Stone,The NeverEnding Story,Goosebumps
tt1340138,Terminator Genisys,The Terminator,Terminator Salvation,Terminator 3: Rise of the Machines,Morgan,Cyborg 2,RoboCop 3
tt3450958,War for the Planet of the Apes,Monkey Shines,Dawn of the Planet of the Apes,Allegiant,Ender's Game,The Giver,The White King
tt0120855,Tarzan,Manoman,Valiant,Scooby-Doo! Moon Monster Madness,Pete's Dragon,The Jungle Book 2,One Hundred and One Dalmatians
tt0234215,The Matrix Reloaded,The Matrix Revolutions,The Matrix,Terminator Genisys,Terminator 3: Rise of the Machines,Masters of the Universe,I Am Legend
tt0242653,The Matrix Revolutions,The Matrix Reloaded,The Matrix,Terminator 3: Rise of the Machines,Terminator Genisys,The Terminator,Cyberjack
tt0311113,Master and Commander: The Far Side of the World,Atlantis: The Lost Empire,Gallipoli,Pirates of the Caribbean: On Stranger Tides,Ben-Hur: A Tale of the Christ,The Hobbit: The Battle of the Five Armies,300: Rise of an Empire
tt0298148,Shrek 2,Shrek,Shrek Forever After,All She Wishes,Thunder and the House of Magic,Hook,Delgo
tt0367594,Charlie and the Chocolate Factory,Willy Wonka & the Chocolate Factory,The Shaggy Dog,Matilda,North,How to Train Your Dragon 2,Mary Poppins
tt0372784,Batman Begins,The Dark Knight,The Dark Knight Rises,Batman & Robin,Defendor,Kick-Ass 2,Joe Cinque's Consolation
